timestamp_utc,scenario,wazuh_detection,detection_check_duration_seconds,evidence_capture,evidence_capture_duration_seconds,evidence_items_required,evidence_items_captured,evidence_completeness_percentage,quarantine,quarantine_duration_seconds,stale_agent_cleanup,stale_agent_cleanup_duration_seconds,replacement_recovery,replacement_duration_seconds,post_recovery_validation,validation_duration_seconds,validation_indicators_total,validation_indicators_passed,validation_success_percentage,monitoring_restored,fim_realtime_ready,monitoring_restoration_duration_seconds,residual_compromise_count,residual_compromise_score,total_duration_seconds,final_result
2026-07-27T09:10:23+00:00,malicious_cron_persistence,PASS,21.72,FAIL,59.71,6,5,83.33,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RECORDED,UNKNOWN,UNKNOWN,UNKNOWN,81.43,FAILED_EVIDENCE_CAPTURE
2026-07-27T09:40:38+00:00,malicious_cron_persistence,PASS,20.43,PASS,56.5,6,6,100.0,PASS,82.89,PASS,67.94,PASS,84.39,PASS,33.14,2,2,100.0,PASS,NOT_RECORDED,22.81,0/2,0.0,345.31,PASS
2026-07-27T10:00:26+00:00,malicious_cron_persistence,PASS,22.07,PASS,58.04,6,6,100.0,PASS,86.58,PASS,66.28,PASS,105.39,PASS,37.06,2,2,100.0,PASS,NOT_RECORDED,21.31,0/2,0.0,375.43,PASS
2026-07-27T10:37:00+00:00,malicious_cron_persistence,PASS,23.69,PASS,60.01,6,6,100.0,PASS,76.7,PASS,66.58,PASS,100.88,PASS,37.22,2,2,100.0,PASS,NOT_RECORDED,21.74,0/2,0.0,365.07,PASS
2026-07-27T11:04:06+00:00,malicious_cron_persistence,PASS,20.49,PASS,58.18,6,6,100.0,PASS,87.92,PASS,64.41,PASS,103.26,PASS,382.66,2,2,100.0,PASS,PASS,369.04,0/2,0.0,716.92,PASS
2026-07-28T20:03:22+00:00,malicious_cron_persistence,FAIL,14.49,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,14.49,NO_RECOVERY_TRIGGERED
2026-07-28T20:09:52+00:00,malicious_cron_persistence,PASS,17.66,PASS,47.12,6,6,100.0,PASS,75.57,PASS,61.77,PASS,106.26,PASS,691.74,2,2,100.0,PASS,PASS,681.81,0/2,0.0,1000.14,PASS
2026-08-06T09:35:04+00:00,malicious_cron_persistence,PASS,15.73,PASS,41.86,6,6,100.0,PASS,74.55,PASS,56.19,PASS,143.68,PASS,684.18,2,2,100.0,PASS,PASS,674.46,0/2,0.0,1016.19,PASS
2026-08-18T18:55:20+00:00,malicious_cron_persistence,PASS,21.17,PASS,58.67,6,6,100.0,PASS,67.06,PASS,74.57,PASS,135.88,PASS,589.87,2,2,100.0,PASS,PASS,574.33,0/2,0.0,947.23,PASS
2026-08-18T19:33:27+00:00,malicious_cron_persistence,FAIL,10.93,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,10.93,NO_RECOVERY_TRIGGERED
2026-08-18T19:40:28+00:00,malicious_cron_persistence,PASS,20.19,PASS,52.85,6,6,100.0,PASS,68.93,PASS,65.36,PASS,125.42,PASS,700.15,2,2,100.0,PASS,PASS,687.75,0/2,0.0,1032.91,PASS
2026-08-18T20:00:19+00:00,malicious_cron_persistence,PASS,19.52,PASS,55.07,6,6,100.0,PASS,67.11,PASS,64.53,PASS,106.73,PASS,656.47,2,2,100.0,PASS,PASS,641.28,0/2,0.0,969.43,PASS
