run_id,category,data_quality,scenario,scenario_label,timestamp_utc,source_file,source_row,wazuh_detection,detection_check_duration_seconds,evidence_capture,evidence_capture_duration_seconds,evidence_items_required,evidence_items_captured,evidence_completeness_percentage,quarantine,quarantine_duration_seconds,stale_agent_cleanup,stale_agent_cleanup_duration_seconds,credential_rotation,credential_rotation_duration_seconds,replacement_recovery,replacement_duration_seconds,post_recovery_validation,validation_duration_seconds,validation_indicators_total,validation_indicators_passed,validation_success_percentage,monitoring_restored,fim_realtime_ready,monitoring_restoration_duration_seconds,new_key_success,old_key_denied,residual_compromise_count,residual_compromise_score,total_duration_seconds,final_result,inclusion_reason
malicious_cron_persistence_01,MAIN,FORMAL_REPEATED,malicious_cron_persistence,Malicious cron persistence,2026-07-27T09:40:38+00:00,cron_recovery_formal_results.csv,2,PASS,20.43,PASS,56.5,6,6,100.0,PASS,82.89,PASS,67.94,NOT_APPLICABLE,,PASS,84.39,PASS,33.14,2,2,100.0,PASS,NOT_RECORDED,22.81,NOT_APPLICABLE,NOT_APPLICABLE,0/2,0.0,345.31,PASS,Successful repeated formal run.
malicious_cron_persistence_02,MAIN,FORMAL_REPEATED,malicious_cron_persistence,Malicious cron persistence,2026-07-27T10:00:26+00:00,cron_recovery_formal_results.csv,3,PASS,22.07,PASS,58.04,6,6,100.0,PASS,86.58,PASS,66.28,NOT_APPLICABLE,,PASS,105.39,PASS,37.06,2,2,100.0,PASS,NOT_RECORDED,21.31,NOT_APPLICABLE,NOT_APPLICABLE,0/2,0.0,375.43,PASS,Successful repeated formal run.
malicious_cron_persistence_03,MAIN,FORMAL_REPEATED,malicious_cron_persistence,Malicious cron persistence,2026-07-27T10:37:00+00:00,cron_recovery_formal_results.csv,4,PASS,23.69,PASS,60.01,6,6,100.0,PASS,76.7,PASS,66.58,NOT_APPLICABLE,,PASS,100.88,PASS,37.22,2,2,100.0,PASS,NOT_RECORDED,21.74,NOT_APPLICABLE,NOT_APPLICABLE,0/2,0.0,365.07,PASS,Successful repeated formal run.
malicious_cron_persistence_04,MAIN,FORMAL_REPEATED,malicious_cron_persistence,Malicious cron persistence,2026-07-27T11:04:06+00:00,cron_recovery_formal_results.csv,5,PASS,20.49,PASS,58.18,6,6,100.0,PASS,87.92,PASS,64.41,NOT_APPLICABLE,,PASS,103.26,PASS,382.66,2,2,100.0,PASS,PASS,369.04,NOT_APPLICABLE,NOT_APPLICABLE,0/2,0.0,716.92,PASS,Successful repeated formal run.
malicious_cron_persistence_05,MAIN,FORMAL_REPEATED,malicious_cron_persistence,Malicious cron persistence,2026-07-28T20:09:52+00:00,cron_recovery_formal_results.csv,7,PASS,17.66,PASS,47.12,6,6,100.0,PASS,75.57,PASS,61.77,NOT_APPLICABLE,,PASS,106.26,PASS,691.74,2,2,100.0,PASS,PASS,681.81,NOT_APPLICABLE,NOT_APPLICABLE,0/2,0.0,1000.14,PASS,Successful repeated formal run.
malicious_systemd_persistence_01,MAIN,FORMAL_REPEATED,malicious_systemd_persistence,Malicious systemd persistence,2026-08-03T13:57:30+00:00,systemd_recovery_formal_results.csv,4,PASS,18.01,PASS,13.28,10,10,100.0,PASS,76.66,PASS,75.6,NOT_APPLICABLE,,PASS,108.06,PASS,395.29,6,6,100.0,PASS,PASS,386.95,NOT_APPLICABLE,NOT_APPLICABLE,0/6,0.0,686.9,PASS,Successful repeated formal run.
malicious_systemd_persistence_02,MAIN,FORMAL_REPEATED,malicious_systemd_persistence,Malicious systemd persistence,2026-08-05T14:28:35+00:00,systemd_recovery_formal_results.csv,5,PASS,22.0,PASS,14.67,10,10,100.0,PASS,80.56,PASS,84.83,NOT_APPLICABLE,,PASS,154.88,PASS,652.32,6,6,100.0,PASS,PASS,630.7,NOT_APPLICABLE,NOT_APPLICABLE,0/6,0.0,1009.26,PASS,Successful repeated formal run.
malicious_systemd_persistence_03,MAIN,FORMAL_REPEATED,malicious_systemd_persistence,Malicious systemd persistence,2026-08-05T14:51:07+00:00,systemd_recovery_formal_results.csv,6,PASS,20.67,PASS,16.2,10,10,100.0,PASS,70.42,PASS,57.34,NOT_APPLICABLE,,PASS,121.36,PASS,351.59,6,6,100.0,PASS,PASS,343.25,NOT_APPLICABLE,NOT_APPLICABLE,0/6,0.0,637.59,PASS,Successful repeated formal run.
malicious_systemd_persistence_04,MAIN,FORMAL_REPEATED,malicious_systemd_persistence,Malicious systemd persistence,2026-08-05T15:30:04+00:00,systemd_recovery_formal_results.csv,7,PASS,21.25,PASS,18.05,10,10,100.0,PASS,85.42,PASS,67.93,NOT_APPLICABLE,,PASS,129.26,PASS,686.49,6,6,100.0,PASS,PASS,671.37,NOT_APPLICABLE,NOT_APPLICABLE,0/6,0.0,1008.41,PASS,Successful repeated formal run.
malicious_systemd_persistence_05,MAIN,FORMAL_REPEATED,malicious_systemd_persistence,Malicious systemd persistence,2026-08-05T15:50:31+00:00,systemd_recovery_formal_results.csv,8,PASS,22.35,PASS,18.96,10,10,100.0,PASS,81.12,PASS,71.91,NOT_APPLICABLE,,PASS,167.47,PASS,703.29,6,6,100.0,PASS,PASS,691.18,NOT_APPLICABLE,NOT_APPLICABLE,0/6,0.0,1065.11,PASS,Successful repeated formal run.
