timestamp,scenario,wazuh_detection,evidence_capture,quarantine,stale_agent_cleanup,replacement_recovery,post_recovery_validation,residual_compromise_score,total_duration_seconds,final_result
2026-07-16T23:07:28,ssh_key_persistence,FAIL,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UNKNOWN,10.29,NO_RECOVERY_TRIGGERED
2026-07-16T23:10:53,ssh_key_persistence,FAIL,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UNKNOWN,10.22,NO_RECOVERY_TRIGGERED
2026-07-16T23:35:04,ssh_key_persistence,PASS,PASS,PASS,NOT_RECORDED,FAIL,PASS,UNKNOWN,257.36,FAIL
2026-07-17T00:12:05,ssh_key_persistence,FAIL,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UNKNOWN,13.75,NO_RECOVERY_TRIGGERED
2026-07-17T00:33:29,ssh_key_persistence,PASS,PASS,PASS,PASS,PASS,PASS,0,551.78,PASS
2026-07-20T23:01:56,ssh_key_persistence,FAIL,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UNKNOWN,14.97,NO_RECOVERY_TRIGGERED
2026-07-20T23:16:02,ssh_key_persistence,PASS,PASS,PASS,PASS,PASS,PASS,0,319.5,PASS
2026-07-20T23:28:31,ssh_key_persistence,PASS,PASS,PASS,PASS,PASS,PASS,0,347.86,PASS
2026-07-21T00:00:18,ssh_key_persistence,PASS,PASS,PASS,PASS,PASS,PASS,0,357.63,PASS
2026-07-21T00:15:38,ssh_key_persistence,FAIL,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UNKNOWN,13.3,NO_RECOVERY_TRIGGERED
2026-07-21T00:22:25,ssh_key_persistence,FAIL,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UNKNOWN,13.45,NO_RECOVERY_TRIGGERED
2026-07-21T00:28:51,ssh_key_persistence,PASS,PASS,PASS,PASS,PASS,PASS,0,487.14,PASS
2026-07-21T09:40:58,ssh_key_persistence,FAIL,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,UNKNOWN,11.39,NO_RECOVERY_TRIGGERED
2026-07-21T09:44:05,ssh_key_persistence,PASS,PASS,PASS,PASS,PASS,PASS,0,344.13,PASS
2026-07-26T18:05:07+00:00,stolen_trusted_ssh_key,FAIL,13.54,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,13.54,NO_RECOVERY_TRIGGERED
2026-07-26T18:08:32+00:00,stolen_trusted_ssh_key,PASS,11.95,PASS,27.25,PASS,66.04,PASS,58.37,PASS,0.22,FAIL,388.96,NOT_RUN,,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,552.8,FAILED_REPLACEMENT_RECOVERY
2026-07-26T18:36:06+00:00,stolen_trusted_ssh_key,PASS,12.78,PASS,20.13,PASS,72.85,PASS,56.26,PASS,0.2,PASS,123.54,PASS,16.57,PASS,PASS,PASS,0/1,0,321.08,PASS
