timestamp_utc,scenario,wazuh_detection,detection_check_duration_seconds,evidence_capture,evidence_capture_duration_seconds,evidence_items_required,evidence_items_captured,evidence_completeness_percentage,quarantine,quarantine_duration_seconds,stale_agent_cleanup,stale_agent_cleanup_duration_seconds,replacement_recovery,replacement_duration_seconds,post_recovery_validation,validation_duration_seconds,validation_indicators_total,validation_indicators_passed,validation_success_percentage,monitoring_restored,fim_realtime_ready,monitoring_restoration_duration_seconds,residual_compromise_count,residual_compromise_score,total_duration_seconds,final_result
2026-08-05T21:25:14+00:00,unauthorized_ssh_public_key,FAIL,20.08,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,20.08,NO_RECOVERY_TRIGGERED
2026-08-05T21:27:08+00:00,unauthorized_ssh_public_key,FAIL,21.13,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,21.13,NO_RECOVERY_TRIGGERED
2026-08-05T21:29:33+00:00,unauthorized_ssh_public_key,PASS,17.55,FAIL,54.53,6,2,33.33,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,72.08,FAILED_EVIDENCE_CAPTURE
2026-08-05T21:32:51+00:00,unauthorized_ssh_public_key,PASS,18.17,FAIL,48.76,6,5,83.33,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,66.93,FAILED_EVIDENCE_CAPTURE
2026-08-05T21:36:57+00:00,unauthorized_ssh_public_key,PASS,19.07,PASS,49.61,6,6,100.0,PASS,65.23,PASS,62.56,PASS,153.82,FAIL,11.76,2,1,50.0,UNKNOWN,UNKNOWN,UNKNOWN,1/2,0.5,362.05,FAIL
2026-08-05T21:54:24+00:00,unauthorized_ssh_public_key,PASS,16.16,PASS,49.16,6,6,100.0,PASS,67.99,PASS,62.08,PASS,108.37,PASS,679.59,2,2,100.0,PASS,PASS,663.63,0/2,0.0,983.35,PASS
2026-08-05T22:11:49+00:00,unauthorized_ssh_public_key,PASS,17.32,PASS,48.73,6,6,100.0,PASS,72.15,PASS,59.46,PASS,155.51,PASS,685.39,2,2,100.0,PASS,PASS,672.71,0/2,0.0,1038.58,PASS
2026-08-05T22:31:54+00:00,unauthorized_ssh_public_key,PASS,17.52,PASS,49.07,6,6,100.0,PASS,64.97,PASS,58.17,PASS,126.61,PASS,675.9,2,2,100.0,PASS,PASS,663.9,0/2,0.0,992.25,PASS
2026-08-05T22:51:59+00:00,unauthorized_ssh_public_key,PASS,17.8,PASS,47.47,6,6,100.0,PASS,69.32,PASS,60.08,PASS,110.41,PASS,719.06,2,2,100.0,PASS,PASS,709.42,0/2,0.0,1024.16,PASS
2026-08-05T23:12:21+00:00,unauthorized_ssh_public_key,PASS,18.29,PASS,49.16,6,6,100.0,PASS,63.49,PASS,48.47,PASS,147.01,PASS,670.55,2,2,100.0,PASS,PASS,661.89,0/2,0.0,996.96,PASS
